0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Class
0.0268626,0.61981875,0.09562719,0.0,0.0,0.30795863,0.0,0.0,0.58456767,0.15713896,0.0,0.0,0.0,0.0,0.0,0.9049887,0.0,0.722906,0.11066127,0.49602115,0.016434606,0.0,0.0,0.0,0.3763221,0.3748547,0.0,0.2517644,0.4240697,0.16125225,0.0,0.0,0.0,0.0,0.0,0.14214176,0.34739825,0.0,0.18462043,0.0,0.052415222,0.7887766,0.0,0.0,0.0,0.0,0.0,0.41037035,0.3900197,0.32423827,0.0,0.0,0.28958452,0.0,0.0,0.0,0.9155037,0.0,0.30072936,0.48739988,0.0,0.12810397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7300481,0.0,0.75548095,0.0,0.0,0.0,0.6212428,0.0,0.6219907,0.15660135,0.6379037,0.5439429,0.0,0.74465936,0.5549214,0.0,0.13735363,0.6046202,0.0,0.48375615,0.0,0.67209864,0.0,0.7528659,0.0,0.26823783,0.0,0.5139328,0.0,0.5532104,0.0,0.10399891,0.5570916,0.0,0.0,0.0,0.39063796,0.0,0.0,0.32285258,0.0,0.0,0.0,0.0,0.3293413,0.0,0.0,0.34819677,0.0,0.0,0.3139332,0.057971578,0.6585446,0.0,0.27344698,0.25124884,0.7369226,0.0,0.0
0.0,0.0,0.0,1.4780402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1109817,0.0,0.0,0.0,0.3830381,0.0,0.4180431,0.0,0.0,0.0,0.0,0.2585081,0.0,0.0,3.8402488,0.0,0.0,0.0,2.7998598,2.4612148,0.0,0.07689558,0.0,0.1544177,0.0,0.0,1.0850719,0.0,0.0,0.0,0.6685016,0.0,0.30390403,0.875243,0.37425172,0.0,0.0,0.0,0.37000397,1.2308756,2.6734257,0.0,3.8899672,0.0,0.0,1.0185405,0.0,0.0,1.5800261,0.0,0.9090269,0.0,2.2442389,0.0,0.0,0.97893345,0.19664304,0.0,0.0,1.1732306,0.0,0.045314994,0.47749317,0.41222206,0.0,0.0,0.0,0.515546,0.0,0.0,0.5844316,0.0,0.59311545,1.3224747,1.9831742,1.535069,0.0,1.2403902,0.0,0.0,0.0,0.0,0.0,1.8609134,0.90908545,0.0,0.0,0.0,1.8765079,0.0,0.0,2.5729744,3.6271043,3.9187462,0.0,1.3879302,2.0873106,0.0,0.86520237,0.0,0.0,1.21922,0.0,3.6567304,0.0,0.0,0.0,1.4671359,0.0,0.1924326,0.0,0.0,0.0,1.718392,0.0,0.31814325,1.0
0.0,0.14281338,0.0,0.0,0.0,1.2577257,1.0580857,0.0,0.6481828,0.25584543,0.0,0.0,0.0,0.0,0.45203108,1.1164916,0.0,0.4957236,0.07332997,0.0,1.2493639,0.0,0.0,0.0,0.58526516,0.83114034,0.0,0.47410592,0.7017893,0.9991155,0.0,0.0,0.0,0.0,0.0,0.2630641,0.9170227,0.45180103,0.2118924,0.0,0.0,0.95946497,0.0,0.0,0.0,0.0,0.5750184,0.048153628,0.8518808,0.11116945,0.4248969,0.0,0.0,0.0,0.0,0.0,1.0825747,0.0,1.284006,0.9602287,0.0,0.56785125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18260042,0.0,0.08781539,0.0,0.85139894,0.0,0.31532237,1.2968509,0.46207464,0.27910653,0.9000948,1.5372702,0.0,1.056434,0.29283628,0.0,0.17112075,0.42805088,0.24680033,0.0,0.0,0.5498466,0.0,0.02402909,0.0,0.0,0.0,1.1563162,0.0,0.5633955,0.0,1.4288191,0.59650743,0.0,0.0,0.0,0.983693,0.0,0.0,1.5563142,0.0,0.0,0.0,0.0,0.79523164,0.0,0.5507323,1.0808024,0.4894048,0.0,1.3848556,0.18590201,0.4791488,0.0,1.4883935,0.20480013,0.75980854,0.0,0.0
0.0,0.0,0.0,1.9679182,0.0,0.0,0.0,0.12135227,0.0,0.0,0.0,0.0,1.4065385,0.0,0.0,0.0,0.40189242,0.0,0.0,0.0,0.0,0.0,0.36663982,0.22692995,0.0,0.0,1.3009087,0.0,0.0,0.0,1.7957532,1.9414059,0.075545356,1.6420205,0.28476653,0.05241216,0.0,0.0,0.31381953,0.0,0.0,0.0,0.4059734,0.0,0.33765116,1.0292988,0.34258518,0.0,0.0,0.0,0.0,1.2699738,1.0821625,0.3020379,1.4152706,0.5539662,0.0,1.3998863,0.0,0.0,2.0625322,0.0,1.230014,1.1981083,2.003991,0.0,0.0,1.1422751,1.4271487,0.0,0.0,1.5592493,0.0,1.152405,0.0,1.2257197,0.0,0.0,0.28523198,0.23294027,0.0,0.0,1.1887901,0.0,0.0,1.6343673,0.6998018,0.0,1.0093538,1.8777447,0.0,0.0,0.0,0.0,0.0,1.9990678,1.1660923,0.0,1.6670047,0.0,2.4340029,0.0,0.0,1.9330465,1.5483289,1.4536965,0.0,2.0844872,1.4431639,0.0,1.7089305,0.0,0.26506388,1.1901915,0.0,1.3805265,0.0,0.0,0.0,1.0623827,0.0,0.0,0.0,0.06612827,0.0,0.5221306,0.0,0.45932642,0.0
0.0,0.0,0.14348568,0.0,0.6626823,0.0,0.0,0.40622398,0.0,0.0,0.0,0.7363168,0.0,0.5965571,0.59498894,0.17741455,0.0,0.0,0.0,0.0,0.0,0.6618386,0.0,0.0,0.16055925,0.0,0.0,0.48040083,0.0,0.0,0.0,0.0,0.0,0.5498085,0.0,0.0,0.013535014,0.95711166,0.1175632,0.0,0.116214395,0.0,0.45599127,0.57510316,0.3725472,0.0,1.2871373,0.0,0.0,0.3383349,0.0,0.24722314,0.0,0.0,0.0,0.0,0.0,0.0,0.32345626,0.0,0.0,0.4562439,0.0,0.0,0.0,0.7584382,0.6070715,0.02475172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27033582,0.0,0.3248492,0.0,0.0,0.033761416,0.274558,0.0,0.12735069,0.0,0.0,0.0,0.0,0.0,0.0,0.44551837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3331879,0.3330335,0.0,0.13840753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39883986,0.0,0.0,0.42206588,0.0,0.0,0.0,1.4024347,0.6392297,0.9274476,0.0,0.0,0.0,0.0,0.636226,0.4272519,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.1814778,1.1219159,0.0,0.04932981,0.23170899,0.0,0.0,0.0,0.0,0.73360175,0.78906506,0.0,0.18036467,0.0076243593,0.0,1.1972115,0.082729064,0.0,0.0,0.29348916,0.56452966,0.0,0.51012087,0.46078536,0.97117794,0.0,0.0,0.0,0.0,0.0,0.15051962,0.7266623,0.8756254,0.30606398,0.0,0.0,0.41450974,0.0,0.0,0.0,0.0,1.1697251,0.0,0.5395565,0.0,0.5194614,0.0,0.0,0.0,0.0,0.0,0.7865399,0.0,1.2818187,0.718852,0.0,0.7542837,0.0,0.0,0.0,0.27612042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051044,0.0,0.1533164,1.1977242,0.0,0.15687393,0.5790353,1.214874,0.0,0.66570204,0.26782283,0.0,0.0,0.11149037,0.043778755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93333465,0.0,0.6463129,0.0,1.4112312,0.40088356,0.0,0.0,0.0,0.9666372,0.0,0.0,1.4532505,0.0,0.0,0.0,0.0,0.6413852,0.0,0.96728206,1.3488542,0.8820699,0.0,1.2276925,0.050710984,0.0,0.0,1.2793311,0.09120919,0.3540086,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.2517937,1.1775372,0.0,0.4501617,0.0,0.0,0.0,0.0,0.0,0.8086562,0.61502934,0.0,1.0039891,0.04630473,0.0,1.2486176,0.0,0.0,0.0,0.6268918,0.19595262,0.0,0.94226074,0.09529411,1.1354337,0.0,0.0,0.0,0.0,0.0,0.0,0.29623345,0.7676176,0.0,0.0,0.0,0.5728107,0.0,0.04088854,0.0,0.0,0.4363119,0.39285806,0.024502931,0.0,0.6773833,0.0,0.0,0.0,0.0,0.0,0.7449748,0.0,1.2705941,0.3595419,0.0,0.99111223,0.0,0.0,0.0,0.39583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539615,0.0,0.0,1.212113,0.0,0.0,0.0,1.1002483,0.0,0.42841086,0.82475024,0.0,0.0,0.8391704,0.0,0.0,0.0,0.10532173,0.0,0.0,0.0,0.0,0.0,0.59169865,0.0,0.9492628,0.0,1.3556556,1.0254987,0.0,0.0,0.0,1.2377664,0.0,0.0,1.1463343,0.0,0.0,0.037855264,0.0,0.092533946,0.0,0.27122945,1.2981321,0.90887177,0.0,1.3037212,0.0,0.658791,0.23739813,1.2079339,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124586485,0.0,0.0,0.0,0.0,0.0,0.0,0.7945116,0.0,0.7551488,0.0,0.8805183,0.0,0.0,0.23437135,0.0,0.35261172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807395,0.0,0.0,0.0,0.0,0.03216589,0.0,0.0,0.26430956,0.95649064,0.0,0.555141,0.0,0.0,0.29079023,0.0,0.0,0.0,0.0,0.51781464,0.0,0.14912628,0.0,0.34413603,0.17884259,0.0,0.03715802,0.0,0.0,0.1528169,0.0,0.0,0.0,0.0,0.0,0.29369274,0.0,0.0,0.0,0.0,0.51925385,0.0,0.46767995,0.0,0.3099338,1.1586727,0.0,0.0,0.72090816,0.32248858,0.8957073,0.0,0.0,0.0,0.83703077,0.0,0.8189755,0.0,0.085689485,0.08205854,0.0,0.0,0.21517903,0.7234552,0.04393232,0.0,0.20358251,0.0,0.0,0.17615305,0.0,0.6406035,0.32683006,0.0,0.0,0.0,0.0,0.0,0.0,0.57378083,0.0,0.0,0.007854479,0.0,0.0,0.0,0.0,0.0,0.0,0.3211209,0.6933103,0.25839782,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.3093766,1.0606217,0.0,0.36282155,0.0109112635,0.0,0.0,0.0,0.0,0.50137883,0.3414308,0.0,0.3113959,0.32247356,0.0,1.2264879,0.0,0.0,0.0,0.10076911,0.5246393,0.0,0.1580171,0.5965653,1.1203451,0.0,0.0,0.0,0.0,0.0,0.0,0.41525853,0.36885232,0.062929355,0.0,0.0,0.5589062,0.0,0.0,0.0,0.0,0.64066905,0.0,0.24681692,0.0,0.6398364,0.0,0.0,0.0,0.0,0.0,0.4988195,0.0,1.1403966,0.41957387,0.0,0.6407384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039515235,0.0,0.0,0.0,1.0704325,0.0,0.22036582,0.9295209,0.0,0.0,0.3946552,0.8647182,0.0,0.24255411,0.487178,0.0,0.16566133,0.24031404,0.0,0.008874697,0.0,0.17539468,0.0,0.0,0.0,0.0,0.0,0.5753353,0.0,0.45369065,0.0,1.2831419,0.3732606,0.0,0.0,0.0,1.1694939,0.0,0.0,1.1977956,0.0,0.0,0.0,0.0,0.39943197,0.030570794,0.27600348,1.2650483,0.36354715,0.0,1.2865331,0.0630831,0.1740452,0.0,1.0057724,0.048375804,0.4566205,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.86809397,0.68201125,0.0,0.75087214,0.0,0.0,0.0,0.0,0.0,0.0,0.7418625,0.0,0.7273043,0.0,0.12665425,0.87191975,0.0,0.0,0.0,0.11946839,0.28085205,0.0,0.0,0.22105521,0.6980767,0.0,0.0,0.0,0.0,0.0,0.0,0.44982004,0.0,0.19655412,0.0,0.0,0.93598485,0.0,0.0,0.0,0.0,0.08609014,0.24043201,0.33685434,0.0,0.0,0.0,0.21686947,0.0,0.08258687,0.0,0.70732945,0.0,0.91445965,0.5781605,0.0,0.25984895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38455272,0.0,0.034950648,0.9680818,0.5689564,0.05466914,0.039262455,1.1348088,0.0,0.72337,0.3956108,0.0,0.52158964,0.77644044,0.0,0.4116056,0.0,0.672706,0.0,0.0,0.0,0.0,0.0,0.7001494,0.0,0.3533814,0.0,1.0015593,0.39017114,0.0,0.19222306,0.3542382,0.7020209,0.0,0.0,1.0531908,0.0,0.0,0.0,0.0,0.20572917,0.16761465,0.0,0.60260606,0.0,0.0,0.9281501,0.0,0.49475852,0.0,0.972552,0.1389644,0.31463897,0.21497521,0.0
